,user,date,text,location,coordinates
0,OTFxJroc2,Wed Jul 14 16:02:15 +0000 2021,RT @AlAstro773: Me after getting hired to by United airlines to fly a plane for 250$ a hour https://t.co/BlCg8JBTst,"Macon, GA",
1,AirlineGeeks,Wed Jul 14 16:02:00 +0000 2021,"If the plan is approved, the letter proposes a construction start date of October 2023, with proposed completion in… https://t.co/Al8V8Jh5Jq","Washington, DC & Global",
2,_arielcortez,Wed Jul 14 16:01:58 +0000 2021,RT @AlAstro773: Me after getting hired to by United airlines to fly a plane for 250$ a hour https://t.co/BlCg8JBTst,,
3,DesityGarcia,Wed Jul 14 16:01:39 +0000 2021,RT @AlAstro773: Me after getting hired to by United airlines to fly a plane for 250$ a hour https://t.co/BlCg8JBTst,,
4,_alejandragee,Wed Jul 14 16:01:32 +0000 2021,RT @AlAstro773: Me after getting hired to by United airlines to fly a plane for 250$ a hour https://t.co/BlCg8JBTst,"Dallas, TX",
5,Gonxalezaa,Wed Jul 14 16:01:22 +0000 2021,RT @AlAstro773: Me after getting hired to by United airlines to fly a plane for 250$ a hour https://t.co/BlCg8JBTst,222,
6,Steel_Leek,Wed Jul 14 16:01:15 +0000 2021,RT @AlAstro773: Me after getting hired to by United airlines to fly a plane for 250$ a hour https://t.co/BlCg8JBTst,"Connecticut, USA",
7,cbhstiger,Wed Jul 14 16:01:14 +0000 2021,RT @AlAstro773: Me after getting hired to by United airlines to fly a plane for 250$ a hour https://t.co/BlCg8JBTst,"Memphis, TN",
8,Michael__lucero,Wed Jul 14 16:01:13 +0000 2021,RT @AlAstro773: Me after getting hired to by United airlines to fly a plane for 250$ a hour https://t.co/BlCg8JBTst,,
9,AnthonyB_21,Wed Jul 14 16:01:11 +0000 2021,RT @AlAstro773: Me after getting hired to by United airlines to fly a plane for 250$ a hour https://t.co/BlCg8JBTst,,
10,brzvii,Wed Jul 14 16:01:07 +0000 2021,RT @AlAstro773: Me after getting hired to by United airlines to fly a plane for 250$ a hour https://t.co/BlCg8JBTst,"Houston, TX",
11,PropheticShad,Wed Jul 14 16:00:58 +0000 2021,RT @AlAstro773: Me after getting hired to by United airlines to fly a plane for 250$ a hour https://t.co/BlCg8JBTst,MARATHON,
12,FalenMike,Wed Jul 14 16:00:32 +0000 2021,RT @AlAstro773: Me after getting hired to by United airlines to fly a plane for 250$ a hour https://t.co/BlCg8JBTst,,
13,jimenez_jess17,Wed Jul 14 16:00:31 +0000 2021,RT @AlAstro773: Me after getting hired to by United airlines to fly a plane for 250$ a hour https://t.co/BlCg8JBTst,"Gallup, NM",
