,user,date,text,location,coordinates
0,Reuters,Mon Aug 16 02:05:11 +0000 2021,United Airlines rerouting some flights to avoid Afghanistan airspace https://t.co/KOwd1OjLli https://t.co/nEJCoxBY1q,Around the world,
1,EricTopol,Mon Aug 16 19:35:56 +0000 2021,"Pretty sharp contrast with the United States, where most airlines won't even require vaccination for their employee… https://t.co/4lhR2HXsLY","La Jolla, CA",
2,Reuters,Mon Aug 16 05:15:05 +0000 2021,United Airlines rerouting some flights to avoid Afghanistan airspace https://t.co/ZG6aTRTU0h https://t.co/jkqdr8ZfAb,Around the world,
3,_Brihunnid,Tue Aug 17 13:06:45 +0000 2021,"United Airlines is now Hiring flight attendants! 
Applications will be open for a limited amount of time! They do a… https://t.co/UWT7NwF5I0",,
4,TravelSpotlight,Tue Aug 17 13:05:18 +0000 2021,United Airlines Tells Crews Not To Duct-Tape Passengers #avgeek https://t.co/MfwUa3ESYJ,,
5,InoRikardo,Tue Aug 17 13:04:27 +0000 2021,United Airlines travel pack: Fly United.20. Yellow pages Condoms: Aren't you glad you use it? don't you wish everybody did?,,
6,MJParkerNet,Tue Aug 17 13:03:42 +0000 2021,"Worst employers ever:

- Capitol Technology University (discriminates)
- United Airlines (discriminates)
- Amazon (… https://t.co/4mwuhQP8Pt",La Casa de Parker,
7,MightyTravels,Tue Aug 17 12:56:30 +0000 2021,US$257 - Cheap flights to Raleigh-Durham from San Francisco (United Airlines) https://t.co/u75HY0hdLh,,
8,tbonetommmy,Tue Aug 17 12:56:04 +0000 2021,RT @josemanzella: @DC10sForever 16/8/71 United Airlines operates first US transcontinental McDonnell Douglas DC-10 service with a flight fr…,"Chicago, IL",
9,laxradar,Tue Aug 17 12:53:18 +0000 2021,"United Airlines flight #UAL1888 spotted at 6,500 feet! https://t.co/kl7Xcf7oP1","Los Angeles, CA",
10,EAHippie,Tue Aug 17 12:50:30 +0000 2021,"Quite the headline.
https://t.co/wTWeeDf4og",EA,
11,StellaRdnwu,Tue Aug 17 12:50:24 +0000 2021,"RT @warriorReborn1: American Airlines, Delta,  Southwest Airlines tidak ada mandat vaksin kec. United Airlines

AA (hq TX gub rep),
Delta,(…",Kota Manado,
12,laxradar,Tue Aug 17 12:45:58 +0000 2021,"United Airlines flight #UAL1652 spotted at 15,350 feet! https://t.co/MmkYs3oOgj","Los Angeles, CA",
13,AboveBracknell,Tue Aug 17 12:43:33 +0000 2021,"🇺🇸 N19951 #UNITED #UAL4 LHR-IAH: 2.8mi away heading W, travelling 295mph @ 7275ft #Heathrow #Departure [United Airl… https://t.co/xyatAD0wq7",Bracknell,
14,laxradar,Tue Aug 17 12:42:54 +0000 2021,"United Airlines flight #UAL534 spotted at 14,400 feet! https://t.co/gubG1HHUvg","Los Angeles, CA",
15,youngthuglove,Tue Aug 17 12:41:22 +0000 2021,"RT @theGEGEeffect: 🚨 3 airlines are currently hiring for Flight Attendants: 
American Airlines 
Frontier Airlines
United Airlines 

‼️‼️

D…",,
16,amasads,Tue Aug 17 12:40:39 +0000 2021,"RT @amasad: Old entrenched companies that are protected from failure like banks and airlines start resembling government agencies.

For exa…",🇯🇴,
