,user,date,text,location,coordinates,filename
0,petemuntean,Tue Aug 10 21:30:02 +0000 2021,"JUST IN: Southwest Airlines, American Airlines, and Delta Air Lines will NOT REQUIRE employees to get vaccinated, b… https://t.co/V11p8w1mLJ","Washington, DC",,2021-08-16 23:36:43.265249_combined.csv
1,CNN,Wed Aug 11 00:46:05 +0000 2021,"The CEOs of Southwest Airlines, American Airlines and Delta Air Lines say they are not requiring unvaccinated emplo… https://t.co/aFLNcPIKlw",,,2021-08-16 23:36:43.265249_combined.csv
2,crampell,Tue Aug 10 22:22:56 +0000 2021,"United: get a shot or find another job 
Other airlines: we’ll give you another job

[This dynamic will play out any… https://t.co/AnpzgwEA1O",,,2021-08-16 23:36:43.265249_combined.csv
3,gsircus,Wed Aug 11 01:45:57 +0000 2021,RT @juliettekayyem: Don’t overthink this one. Southwest and American Airlines HQ in Texas. Delta HQ in Georgia. United Airlines HQ in Illin…,Chicago,,2021-08-16 23:36:43.265249_combined.csv
4,Marc12038502,Wed Aug 11 01:45:55 +0000 2021,"RT @petemuntean: JUST IN: Southwest Airlines, American Airlines, and Delta Air Lines will NOT REQUIRE employees to get vaccinated, breaking…",,,2021-08-16 23:36:43.265249_combined.csv
5,AuntiePinky,Wed Aug 11 01:45:54 +0000 2021,"RT @D4Real8645: Fucking INSANE. 
DO NOT FLY these airlines! Only fly United.
My dad just emailed AA about a flight attendant on his flight…",Behind you,,2021-08-16 23:36:43.265249_combined.csv
6,Richard80024379,Wed Aug 11 01:45:51 +0000 2021,"RT @ElectionWiz: ALERT: Southwest Airlines, American Airlines, and Delta Air Lines will NOT REQUIRE employees to get vaccinated, breaking w…",Gardnerville NV,,2021-08-16 23:36:43.265249_combined.csv
7,justinshady,Wed Aug 11 01:45:50 +0000 2021,As someone who has flown on @SouthwestAir almost exclusively in the past (I have both a companion pass and over 100… https://t.co/AfP5cUKw9S,"Los Angeles, CA",,2021-08-16 23:36:43.265249_combined.csv
8,Thisizhowwedoit,Wed Aug 11 01:45:44 +0000 2021,"RT @CNN: The CEOs of Southwest Airlines, American Airlines and Delta Air Lines say they are not requiring unvaccinated employees to receive…","New York, USA",,2021-08-16 23:36:43.265249_combined.csv
9,DiPasqualeDeb,Wed Aug 11 01:45:33 +0000 2021,@petemuntean What’s going to happen is the vaccinated will fly United. The unvaccinated will fly the other airlines… https://t.co/Mw4oOCF66p,"Chicago, IL",,2021-08-16 23:36:43.265249_combined.csv
10,ZookZangsten,Wed Aug 11 01:45:01 +0000 2021,RT @SexCounseling: @ElectionWiz Watch United Airlines fold after they have an employee shortage.,"The Great State of #Texas, USA",,2021-08-16 23:36:43.265249_combined.csv
11,rashaverak_day,Wed Aug 11 01:44:58 +0000 2021,RT @HiImKangarou: Goddamnit. Don't make me side with United Airlines.,Virginia,,2021-08-16 23:36:43.265249_combined.csv
12,iturraldeycaza,Wed Aug 11 01:44:58 +0000 2021,"BREAKING! 🚨🚨🚨 Southwest Airlines, American Airlines, and Delta Air Lines will NOT REQUIRE employees to get vaccinat… https://t.co/qqP96vipaT",Guayaquil - Ecuador ,,2021-08-16 23:36:43.265249_combined.csv
13,CounselorCarol1,Wed Aug 11 01:44:44 +0000 2021,RT @rainperry: This United Airlines thing puts me in mind of the lunch counter sit-ins of the civil rights era. A couple of restaurant owne…,"Lubbock, Texas",,2021-08-16 23:36:43.265249_combined.csv
14,MarthaLynneOwe1,Wed Aug 11 01:44:27 +0000 2021,RT @TrueFactsStated: Support United Airlines when you have a choice..,Southern Maine,,2021-08-16 23:36:43.265249_combined.csv
15,MsNycole,Wed Aug 11 01:44:26 +0000 2021,Super disappointed to see @Delta and other airlines not following @United and requiring staff to be vaccinated. Way… https://t.co/KGsv0FwSQS,Los Angeles,,2021-08-16 23:36:43.265249_combined.csv
16,shoegal1974,Wed Aug 11 01:44:24 +0000 2021,"RT @amalaekpunobi: Well, now I know which airlines to use. The leadership at United Airlines should be ashamed of themselves.",,,2021-08-16 23:36:43.265249_combined.csv
17,crowe_earl,Wed Aug 11 01:44:09 +0000 2021,"RT @ShaunKraisman: JUST IN: Southwest Airlines, American Airlines, and Delta Air Lines will NOT REQUIRE employees to get vaccinated, breaki…","Kentucky, USA Fly Over Nation",,2021-08-16 23:36:43.265249_combined.csv
18,LlynnBarr,Wed Aug 11 01:44:06 +0000 2021,"RT @TeresaFreeThink: BREAKING! 🚨🚨🚨 
(We The Media)
Southwest Airlines, American Airlines, and Delta Air Lines will NOT REQUIRE employees to…",,,2021-08-16 23:36:43.265249_combined.csv
19,10yearsasailor,Wed Aug 11 01:44:05 +0000 2021,@CNN I will fly this airlines over United. We have gone insane with a vaccine that does not keep you from getting or transmitting the virus.,,,2021-08-16 23:36:43.265249_combined.csv
20,KryglikWMAR,Wed Aug 11 01:43:53 +0000 2021,RT @NathanBomey: Won't get a COVID vaccine? OK. But it might cost you $20 to $50 per paycheck as an insurance surcharge. My story for @USAT…,"Baltimore, Maryland",,2021-08-16 23:36:43.265249_combined.csv
21,rich__magee,Wed Aug 11 01:43:52 +0000 2021,I’ll certainly be changing my upcoming travel plans to United Airlines. https://t.co/FLbiBmCpbz,,,2021-08-16 23:36:43.265249_combined.csv
22,vijmn,Wed Aug 11 01:43:51 +0000 2021,"RT @lesliejosephs: Hawaiian Airlines says it will require U.S. staff to be vaccinated against Covid by Nov. 1, the third major airline to i…",Bay Area,,2021-08-16 23:36:43.265249_combined.csv
23,NinersGal1,Wed Aug 11 01:43:39 +0000 2021,@petemuntean This is why I do not fly any of those airlines and I pay extra to fly @united!  I hope @AlaskaAir follows suit!,,,2021-08-16 23:36:43.265249_combined.csv
24,pezluvhappyness,Wed Aug 11 01:43:38 +0000 2021,RT @louisvilledad14: United Airlines made a good move for vaccinated workers. I'll pay a little more to be on a safe plane.,earth,,2021-08-16 23:36:43.265249_combined.csv
25,sparky7u,Wed Aug 11 01:43:37 +0000 2021,"RT @gainesm: @petemuntean Guess I’ll be exclusively flying United Airlines, then.",Dallas suburbs,,2021-08-16 23:36:43.265249_combined.csv
26,laxradar,Wed Aug 11 01:43:27 +0000 2021,"United Airlines flight #UAL798 spotted at 3,175 feet! https://t.co/Eituqnizw6","Los Angeles, CA",,2021-08-16 23:36:43.265249_combined.csv
27,laxradar,Wed Aug 11 02:16:19 +0000 2021,"United Airlines flight #UAL1831 spotted at 1,800 feet! https://t.co/CwGAfCGjML","Los Angeles, CA",,2021-08-16 23:36:43.265249_combined.csv
28,pegasusepsilon,Wed Aug 11 02:15:58 +0000 2021,"@xeplusplus @BeachcomberNC @petemuntean @Phil_Lewis_ American Airlines $5.8 billion
Delta airlines $5.4 billion
Sou… https://t.co/bd1jPFAeRu",The Internet,,2021-08-16 23:36:43.265249_combined.csv
29,RashidaDesigner,Wed Aug 11 02:15:26 +0000 2021,Finally a competitive difference between airlines besides price and convenience. I have to fly to Austin this Septe… https://t.co/Xfu2ck2Mjq,"Brooklyn, NY",,2021-08-16 23:36:43.265249_combined.csv
30,TheReal_Hurl,Wed Aug 11 02:15:24 +0000 2021,"RT @6ft7300: BREAKING! 🚨🚨🚨 Southwest Airlines, American Airlines, and Delta Air Lines will NOT REQUIRE employees to get vaccinated, breakin…",,,2021-08-16 23:36:43.265249_combined.csv
31,mychicas3,Wed Aug 11 02:15:15 +0000 2021,RT @JReinerMD: I’ll fly with the airline that puts passenger safety first. At this point in the pandemic that appears to be United Airlines.,"Des Moines, IA",,2021-08-16 23:36:43.265249_combined.csv
32,10TV,Wed Aug 11 02:15:09 +0000 2021,United Airlines requiring all US employees to get COVID vaccine https://t.co/tcvlJPlQbP,"Columbus, Ohio, USA",,2021-08-16 23:36:43.265249_combined.csv
33,Joe95468177,Wed Aug 11 02:15:08 +0000 2021,@CNN I will strictly fly United Airlines from now on!,,,2021-08-16 23:36:43.265249_combined.csv
34,MeowSiamese,Wed Aug 11 02:15:07 +0000 2021,@neal_katyal @united I'm sure other airlines will follow suit in a week or two. Just wait for it.,Blue dot in the flyover state.,,2021-08-16 23:36:43.265249_combined.csv
35,mcleod,Wed Aug 11 02:15:01 +0000 2021,RT @JReinerMD: I’ll fly with the airline that puts passenger safety first. At this point in the pandemic that appears to be United Airlines…,"Lafayette, CO",,2021-08-16 23:36:43.265249_combined.csv
36,_RyanIndustries,Wed Aug 11 02:14:54 +0000 2021,"RT @Steve35758: ALERT: Southwest Airlines, American Airlines, and Delta Air Lines will NOT REQUIRE employees to get vaccinated, breaking wi…","63° 2' N, 29° 55' W",,2021-08-16 23:36:43.265249_combined.csv
37,theodoretedwebb,Wed Aug 11 02:14:33 +0000 2021,"""The tipping point for me was seeing that 97 percent of the people in the hospital are unvaccinated and over 99 per… https://t.co/Iw6kUReotW",West Virginia,,2021-08-16 23:36:43.265249_combined.csv
