,Unnamed: 0,user,date,text,location,coordinates,filename
0,0.0,petemuntean,Tue Aug 10 21:30:02 +0000 2021,"JUST IN: Southwest Airlines, American Airlines, and Delta Air Lines will NOT REQUIRE employees to get vaccinated, b… https://t.co/V11p8w1mLJ","Washington, DC",,2021-08-17 23:38:16.429466_combined.csv
1,1.0,CNN,Wed Aug 11 00:46:05 +0000 2021,"The CEOs of Southwest Airlines, American Airlines and Delta Air Lines say they are not requiring unvaccinated emplo… https://t.co/aFLNcPIKlw",,,2021-08-17 23:38:16.429466_combined.csv
2,2.0,crampell,Tue Aug 10 22:22:56 +0000 2021,"United: get a shot or find another job 
Other airlines: we’ll give you another job

[This dynamic will play out any… https://t.co/AnpzgwEA1O",,,2021-08-17 23:38:16.429466_combined.csv
3,3.0,gsircus,Wed Aug 11 01:45:57 +0000 2021,RT @juliettekayyem: Don’t overthink this one. Southwest and American Airlines HQ in Texas. Delta HQ in Georgia. United Airlines HQ in Illin…,Chicago,,2021-08-17 23:38:16.429466_combined.csv
4,4.0,Marc12038502,Wed Aug 11 01:45:55 +0000 2021,"RT @petemuntean: JUST IN: Southwest Airlines, American Airlines, and Delta Air Lines will NOT REQUIRE employees to get vaccinated, breaking…",,,2021-08-17 23:38:16.429466_combined.csv
5,5.0,AuntiePinky,Wed Aug 11 01:45:54 +0000 2021,"RT @D4Real8645: Fucking INSANE. 
DO NOT FLY these airlines! Only fly United.
My dad just emailed AA about a flight attendant on his flight…",Behind you,,2021-08-17 23:38:16.429466_combined.csv
6,6.0,Richard80024379,Wed Aug 11 01:45:51 +0000 2021,"RT @ElectionWiz: ALERT: Southwest Airlines, American Airlines, and Delta Air Lines will NOT REQUIRE employees to get vaccinated, breaking w…",Gardnerville NV,,2021-08-17 23:38:16.429466_combined.csv
7,7.0,justinshady,Wed Aug 11 01:45:50 +0000 2021,As someone who has flown on @SouthwestAir almost exclusively in the past (I have both a companion pass and over 100… https://t.co/AfP5cUKw9S,"Los Angeles, CA",,2021-08-17 23:38:16.429466_combined.csv
8,8.0,Thisizhowwedoit,Wed Aug 11 01:45:44 +0000 2021,"RT @CNN: The CEOs of Southwest Airlines, American Airlines and Delta Air Lines say they are not requiring unvaccinated employees to receive…","New York, USA",,2021-08-17 23:38:16.429466_combined.csv
9,9.0,DiPasqualeDeb,Wed Aug 11 01:45:33 +0000 2021,@petemuntean What’s going to happen is the vaccinated will fly United. The unvaccinated will fly the other airlines… https://t.co/Mw4oOCF66p,"Chicago, IL",,2021-08-17 23:38:16.429466_combined.csv
