user,date,text,location,coordinates
MobilePunch,Mon Jan 31 13:38:41 +0000 2022,"Woman Delivered Of Baby Boy During Flight From Ghana To US

A pregnant woman has been safely delivered of a baby bo… https://t.co/ME5CQhNFFU","Lagos, Nigeria",
NBCNightlyNews,Fri Jan 28 01:30:00 +0000 2022,"United Airlines is recruiting students, no experience needed, for the first major airline-owned pilot flight academ… https://t.co/dVr0Bt7cwT",New York,
CNN,Sat Jan 29 02:36:39 +0000 2022,"United Airlines is banking on Aviate Academy, the first flight school owned by a major US airline, as its solution… https://t.co/7QhvvcW1Sr",,
yyylim3,Fri Feb 04 23:03:48 +0000 2022,RT @AusterityAirli1: United Airlines Boeing 787-9 Dreamliner N29975 in flight over California just a couple of days ago. https://t.co/zQCCh…,NY,
laxradar,Fri Feb 04 22:47:40 +0000 2022,United Airlines flight #UAL312 spotted at 75 feet! https://t.co/gOJLIUUY5M,"Los Angeles, CA",
lizette_neves,Fri Feb 04 22:45:26 +0000 2022,RT @AusterityAirli1: United Airlines Boeing 787-9 Dreamliner N29975 in flight over California just a couple of days ago. https://t.co/zQCCh…,"Rio de Janeiro, Brasil",
laxradar,Fri Feb 04 22:45:05 +0000 2022,"United Airlines flight #UAL403 spotted at 15,600 feet! https://t.co/z7OIQI3Zs1","Los Angeles, CA",
laxradar,Fri Feb 04 22:41:16 +0000 2022,United Airlines flight #UAL1897 spotted at 275 feet! https://t.co/7a3iUsf6yQ,"Los Angeles, CA",
laxradar,Fri Feb 04 22:39:54 +0000 2022,United Airlines flight #UAL516 spotted at 750 feet! https://t.co/Nzqe13mYs5,"Los Angeles, CA",
Labugnekevi,Fri Feb 04 22:39:25 +0000 2022,"@united @AmericanAir you both have the worst airlines in history of airlines . Spirit is by far the best , between… https://t.co/R6DCfzXvri",,
BToy96,Fri Feb 04 22:29:09 +0000 2022,RT @AusterityAirli1: United Airlines Boeing 787-9 Dreamliner N29975 in flight over California just a couple of days ago. https://t.co/zQCCh…,"Surrey, British Columbia",
deneendefiore,Fri Feb 04 22:28:47 +0000 2022,"RT @carminegallo: Nice gesture @united My daughter lost her beloved stuffed bear at SFO and after 6 weeks, we thought it had vanished for g…",,
laxradar,Fri Feb 04 22:22:12 +0000 2022,"United Airlines flight #UAL2260 spotted at 37,000 feet! https://t.co/lHUOhdiCSW","Los Angeles, CA",
laxradar,Fri Feb 04 22:21:40 +0000 2022,"United Airlines flight #UAL2041 spotted at 35,025 feet! https://t.co/SuPMIYwE0o","Los Angeles, CA",
laxradar,Fri Feb 04 22:20:52 +0000 2022,United Airlines flight #UAL1762 spotted at 625 feet! https://t.co/ng9TXapbDP,"Los Angeles, CA",
escapeatx,Fri Feb 04 22:17:33 +0000 2022,Cheap Flights: Austin and San Antonio to Europe $391-$599 r/t [February-April] – Star Alliance / Oneworld / SkyTeam… https://t.co/ATPVodNSEY,"Austin, TX",
laxradar,Fri Feb 04 22:16:25 +0000 2022,"United Airlines flight #UAL2166 spotted at 11,875 feet! https://t.co/ZGXwEzqFZu","Los Angeles, CA",
markcheung,Fri Feb 04 22:10:20 +0000 2022,United Airlines telling me I got my favorite pizza topping wrong,SF Bay Area,
laxradar,Fri Feb 04 22:10:18 +0000 2022,"United Airlines flight #UAL2110 spotted at 15,625 feet! https://t.co/GLxH6j1AQ5","Los Angeles, CA",
Elaine427,Fri Feb 04 22:08:35 +0000 2022,"This is why Delta, united, American, and JetBlue airlines is asking for a no-fly status for all of the crazies that… https://t.co/ZMTDoqWi4M",Georgia,
flyevilqueen,Fri Feb 04 21:47:51 +0000 2022,RT @Kmbarnette16: #avgeek Thank you @United Airlines for the donation and presentation of airframe and powerplant to @BoydAndersonH @ERAU_A…,"Ft. Lauderdale, FL - ZMA",
centralspotter,Fri Feb 04 21:44:42 +0000 2022,"👀✈️🔊
OO-TNQ 
#TAY4426 
#ASL Airlines Belgium 
#Belgium
#Boeing 737 4M0BDSF 
#ASL Airlines Belgium#44D1D1
From: #EDI… https://t.co/kRWIubY74V","Scotland, United Kingdom",
laxradar,Fri Feb 04 21:44:06 +0000 2022,"United Airlines flight #UAL2199 spotted at 29,725 feet! https://t.co/1m5ik0D1L8","Los Angeles, CA",
