,user,date,text,location,coordinates
0,Investingcom,Sun Jul 18 13:45:00 +0000 2021,"🇺🇸EARNINGS THIS WEEK:

-NETFLIX
-TWITTER
-SNAP
-INTEL
-IBM
-TEXAS INSTRUMENTS
-COCA COLA
-CHIPOTLE
-DOMINO’S PIZZA… https://t.co/gUiObbVPJp",Global,
1,AnaCabrera,Tue Jul 13 15:52:37 +0000 2021,NEW: American Airlines and United Way are working together to fly families of the victims in the condo collapse to… https://t.co/EB0IajsTa1,"New York, NY",
2,united,Tue Jul 13 14:04:28 +0000 2021,"It's electric! ⚡️

Together with @Breakthrough and @MesaAirlines, we're working with @heartaerospace to decarbonize… https://t.co/DZDBoBPcp6",,
3,AirCrash_,Mon Jul 19 09:00:08 +0000 2021,"#OTD in 1989 | The tail-mounted engine of United Airlines Flight 232 (McDonnell Douglas DC-10-10) explodes, causing… https://t.co/zpVXI3KI20",Australia,
4,DistillateJunky,Mon Jul 19 08:51:20 +0000 2021,"RT @SawyerMerritt: NEWS: United Airlines Is Buying 100 Zero-Emission Electric Planes From a Swedish Startup
https://t.co/ncLjmBSKBF",0008!!!,
5,SoyElPapu2,Mon Jul 19 08:38:09 +0000 2021,"RT @SawyerMerritt: NEWS: United Airlines Is Buying 100 Zero-Emission Electric Planes From a Swedish Startup
https://t.co/ncLjmBSKBF",,
6,BrownMerrell,Mon Jul 19 08:37:30 +0000 2021,RT @danhanley4: That's me in the middle on my last London layover in 2003 as a United Airlines B-777 captain before I was brutally terminat…,,
7,XH487,Mon Jul 19 08:33:05 +0000 2021,"RT @OnDisasters: #OTD in 1989: United Airlines Flight 232, a DC-10, crash lands in Sioux (US): 111 of 296 aboard die. Jet had lost flight c…","Belgravia, London & Manchester",
8,laxradar,Mon Jul 19 08:31:59 +0000 2021,"United Airlines flight #UAL505 spotted at 35,000 feet! https://t.co/FRryIYBp8F","Los Angeles, CA",
9,thoroughgood_j,Mon Jul 19 08:24:06 +0000 2021,"RT @CommSec: Earnings season continues in the US this week. IBM &amp; Steel Dynamics are set to post quarterly results tonight. Tesla, Netflix,…",,
10,KenZeroHarm,Mon Jul 19 08:18:13 +0000 2021,"RT @OnDisasters: #OTD in 1989: United Airlines Flight 232, a DC-10, crash lands in Sioux (US): 111 of 296 aboard die. Jet had lost flight c…",,
11,laxradar,Mon Jul 19 08:13:58 +0000 2021,United Airlines flight #UAL2181 spotted at 575 feet! https://t.co/Ipcr8rUwCR,"Los Angeles, CA",
12,KenZeroHarm,Mon Jul 19 08:13:09 +0000 2021,"RT @OnDisasters: #OTD in 1962: United Arab Airlines Flight 869, a Comet, crashes in Khao Yai Mt. (Thailand). All 26 aboard die. Report stat…",,
13,PrenkertsTanke,Mon Jul 19 08:08:01 +0000 2021,"RT @northvolt: Everything will go electric – great news for our friends at @heartaerospace, as @UnitedAirlines_  order 100 of their 19-seat…","Örebro, Sverige",
14,Prakash21887880,Mon Jul 19 08:07:54 +0000 2021,@united can you atleadt fix your customer care in India? Either the call is not answered in well over 40 mins or is… https://t.co/fZD8s3RTvI,,
15,guaddiminhomie,Mon Jul 19 08:06:40 +0000 2021,"RT @Investingcom: 🇺🇸EARNINGS THIS WEEK:

-NETFLIX
-TWITTER
-SNAP
-INTEL
-IBM
-TEXAS INSTRUMENTS
-COCA COLA
-CHIPOTLE
-DOMINO’S PIZZA
-UNITE…",west,
16,laxradar,Mon Jul 19 07:59:54 +0000 2021,"United Airlines flight #UAL1850 spotted at 1,500 feet! https://t.co/SUg5HvOG4x","Los Angeles, CA",
17,RLCook8,Mon Jul 19 07:59:46 +0000 2021,United Airlines Allowed Passenger To Continue To Fly After Using Slurs O... https://t.co/fwjLujRWuL via @YouTube,,
18,samstrades,Mon Jul 19 07:59:34 +0000 2021,"RT @CommSec: Earnings season continues in the US this week. IBM &amp; Steel Dynamics are set to post quarterly results tonight. Tesla, Netflix,…",,
19,shareyourcost,Mon Jul 19 07:59:16 +0000 2021,US$258 – Cheap flights to Anchorage from Harrisburg (United Airlines) https://t.co/LGSY1fgtQx,Glasgow,
20,RLCook8,Mon Jul 19 07:58:41 +0000 2021,United Airlines Anti-Black Hair Discrimination Policy Deserves A Boycott... https://t.co/JdybZYNhw5 via @YouTube,,
21,heartaerospace,Mon Jul 19 07:58:18 +0000 2021,"RT @northvolt: Everything will go electric – great news for our friends at @heartaerospace, as @UnitedAirlines_  order 100 of their 19-seat…","Göteborg, Sverige",
22,kennethrohde,Mon Jul 19 07:58:06 +0000 2021,"RT @northvolt: Everything will go electric – great news for our friends at @heartaerospace, as @UnitedAirlines_  order 100 of their 19-seat…","Copenhagen, Denmark",
23,sangela125,Mon Jul 19 07:52:09 +0000 2021,United Airlines Invests in Electric Planes: Don't Count on Them Taking Flight Soon https://t.co/N8oGjf71Af @Yahoo,,
24,RichardVillella,Mon Jul 19 07:50:29 +0000 2021,Lucky I sent the wifey on United Airlines.. extra ¥en.. but worth it.. fingers crossed.. https://t.co/YtC85UmxSz,,
25,laxradar,Mon Jul 19 07:49:39 +0000 2021,United Airlines flight #UAL1497 spotted at 500 feet! https://t.co/v9OSJ9wHkp,"Los Angeles, CA",
26,AndreaRude3,Mon Jul 19 07:44:07 +0000 2021,United Airlines expects to post positive income before tax in July https://t.co/c3sq5zsNxx,,
27,rimicyan,Mon Jul 19 07:42:52 +0000 2021,"RT @JetPhotos: A United Airlines 747-100 in Chicago, 1977. https://t.co/GQuXZ781CA © Peter Cook https://t.co/cSTVYOUSGv",奈良県,
28,banglanews_eng,Mon Jul 19 07:42:32 +0000 2021,Abandoned Aircraft: United Air voices worry over sale of eight planes  United Airways has expressed concern over th… https://t.co/beSgIhpBR8,"Oslo, Norway",
29,laxradar,Mon Jul 19 07:37:30 +0000 2021,"United Airlines flight #UAL1699 spotted at 1,025 feet! https://t.co/Ruv748VfGc","Los Angeles, CA",
30,CommSec,Mon Jul 19 07:35:00 +0000 2021,Earnings season continues in the US this week. IBM &amp; Steel Dynamics are set to post quarterly results tonight. Tesl… https://t.co/eEClrUQGVs,Australia,
31,Rasmosus,Mon Jul 19 07:34:27 +0000 2021,RT @danhanley4: That's me in the middle on my last London layover in 2003 as a United Airlines B-777 captain before I was brutally terminat…,Denmark,
32,BullnBear6,Mon Jul 19 07:27:58 +0000 2021,"RT @PrasadWakchaure: Big disruption in short distance airlines is on the way. Electric planes! As battery capacity rises, much bigger capac…",,
33,Jakewoo12,Mon Jul 19 07:26:10 +0000 2021,"RT @northvolt: Everything will go electric – great news for our friends at @heartaerospace, as @UnitedAirlines_  order 100 of their 19-seat…","Cebu, Philippines ",
34,chicago_glenn,Mon Jul 19 07:25:52 +0000 2021,"RT @united: It's electric! ⚡️

Together with @Breakthrough and @MesaAirlines, we're working with @heartaerospace to decarbonize regional ai…",Mars,
35,laxradar,Mon Jul 19 07:24:52 +0000 2021,"United Airlines flight #UAL2622 spotted at 12,175 feet! https://t.co/P5FNq9XscJ","Los Angeles, CA",
36,seiams_,Mon Jul 19 07:23:11 +0000 2021,"RT @northvolt: Everything will go electric – great news for our friends at @heartaerospace, as @UnitedAirlines_  order 100 of their 19-seat…",,
37,Gameboism,Mon Jul 19 07:22:56 +0000 2021,RT @AlAstro773: Me after getting hired to by United airlines to fly a plane for 250$ a hour https://t.co/BlCg8JBTst,,
38,arpitmehta99,Mon Jul 19 07:20:23 +0000 2021,"RT @PrasadWakchaure: Big disruption in short distance airlines is on the way. Electric planes! As battery capacity rises, much bigger capac…","Navi Mumbai, India",
39,laxradar,Mon Jul 19 07:19:30 +0000 2021,"United Airlines flight #UAL1571 spotted at 25,775 feet! https://t.co/HdroB7TYag","Los Angeles, CA",
40,beauttahbrandon,Mon Jul 19 07:16:15 +0000 2021,"RT @SpeedBird_NCL: Heart's ES-19 electric plane is built for clean inter-city travel:
https://t.co/m4RQ0XNOqM
#Aviation #Aircraft #environm…","Nairobi, Kenya",
41,AlaskaAir_17,Mon Jul 19 07:15:16 +0000 2021,"RT @JetPhotos: A United Airlines 747-100 in Chicago, 1977. https://t.co/GQuXZ781CA © Peter Cook https://t.co/cSTVYOUSGv",🇺🇸🏴󠁧󠁢󠁥󠁮󠁧󠁿/In the Air,
